time_sec,algae,daphnia,beetles,avg_stealth,avg_neuroticism,protected
10,124,61,3,0.49637764301841125,0.019672131147540982,0
20,24,84,3,0.49828076636193297,0.02857142857142857,0
30,198,66,3,0.5160109725968258,0.0,1
40,198,69,3,0.5270722081262963,0.0,0
50,199,73,3,0.5162410878101612,0.03337269554799239,0
60,183,51,3,0.5060414015454601,0.011764705882352941,14
70,197,68,3,0.5037173108967313,0.004411764705882353,0
80,200,71,3,0.500588897669143,0.0,0
90,194,86,3,0.4954331755026146,0.020930232558139535,1
100,114,100,3,0.49670494618439326,0.012,0
110,178,56,3,0.49607731688618245,0.01607142857142857,7
120,200,61,3,0.5077502249685822,0.009836065573770491,0
130,200,66,3,0.5100878230541495,0.004545454545454545,0
140,3,75,3,0.5111107754510533,0.011999999999999999,4
150,194,72,3,0.5252003173214518,0.004166666666666667,0
160,199,83,3,0.5208241989792243,0.0,0
171,198,87,3,0.5115611091892194,0.0,0
181,87,68,3,0.5104020335790269,0.0,0
191,193,85,3,0.5118586695943894,0.010588235294117647,0
201,195,78,3,0.49960799175191467,0.0,1
211,194,87,3,0.49955786349532877,0.006896551724137931,0
221,149,83,3,0.5144256523296925,0.003614457831325301,0
231,36,70,3,0.5148642383884524,0.012857142857142855,0
241,143,61,3,0.5013478652957718,0.0049180327868852455,7
251,186,49,3,0.49236643558864707,0.0,6
261,58,84,3,0.4967196021264582,0.0,0
271,196,76,3,0.5000008529414266,0.003947368421052632,0
281,196,92,3,0.4981745600728381,0.0,0
291,200,80,3,0.5023057201919544,0.0,0
301,200,78,3,0.5070725068921016,0.0,0
311,192,79,3,0.5064966015224187,0.0,1
321,188,71,3,0.49231239611885164,0.0,1
331,198,84,3,0.4992752095864181,0.0035714285714285713,0
341,200,87,3,0.4971182357593054,0.0,0
351,106,69,3,0.48473197425527736,0.0,0
362,47,69,3,0.5093777091090864,0.013043478260869565,0
372,50,72,3,0.5143585698440679,0.0,0
382,20,59,3,0.6175882212391272,0.0,0
392,195,84,3,0.6188302071525067,0.0035714285714285713,1
402,27,66,3,0.6437003166685052,0.013636363636363636,0
412,101,61,3,0.6761117635066436,0.0049180327868852455,39
422,45,71,3,0.6836645558818422,0.02112676056338028,37
432,16,71,3,0.6897309410773401,0.0,0
442,200,48,3,0.7166028928972373,0.0,0
452,200,53,3,0.7238000811176984,0.0,0
462,25,54,3,0.7333925226716205,0.005555555555555556,0
472,200,19,3,0.7861897398065648,0.0,0
482,150,51,3,0.7733998303193025,0.0,21
492,197,35,3,0.7919905205508359,0.0,0
502,179,55,3,0.8056531141788466,0.0,0
512,177,46,3,0.8192231361322996,0.0,2
522,163,50,3,0.8123476226605344,0.0,0
532,192,44,3,0.8121000144336592,0.0,5
542,20,67,3,0.7578806789980216,0.01791044776119403,0
552,176,24,3,0.8065189972443373,0.0,7
562,197,53,3,0.8379926270968857,0.011320754716981131,0
572,200,50,3,0.8653971438331695,0.006,0
582,200,63,3,0.8898766768436289,0.0,0
593,197,71,3,0.8924329978971883,0.012676056338028168,1
603,200,62,3,0.9095474880928898,0.004838709677419355,0
613,194,61,3,0.9358720257390787,0.014754098360655736,2
623,200,72,3,0.9855356754094152,0.016666666666666666,0
633,200,74,3,1.006290276146207,0.012162162162162161,0
643,190,76,3,1.0112625937686943,0.031578947368421054,1
653,184,93,3,1.0165472758517635,0.025806451612903226,12
663,159,100,3,1.0262597535617042,0.012,16
673,184,91,2,1.0194076192910473,0.006593406593406593,2
683,172,90,1,1.0219224261332835,0.013333333333333332,0
693,176,71,0,1.028961799215171,0.004225352112676056,1
703,172,82,0,1.0242704987835392,0.007317073170731707,6
713,28,100,0,1.0181734457946086,0.003,0
723,120,98,0,1.024257704565907,0.009183673469387754,2
734,200,67,0,1.025860876230788,0.01343283582089552,0
744,200,78,0,1.0239714965025672,0.007692307692307692,0
754,198,89,0,1.0217080281445463,0.01348314606741573,0
764,197,90,0,1.0332821740177727,0.016666666666666666,0
774,200,99,0,1.024522531022187,0.012121212121212121,0
784,200,92,0,1.0245295538781354,0.02934782608695652,0
794,111,100,0,1.010574458099685,0.026999999999999996,0
804,177,100,0,1.0076381232038998,0.0547671630258506,16
814,40,100,0,1.0101212852895691,0.06976716302585059,0
824,190,99,0,1.014355888529929,0.0795627909352026,0
834,200,90,0,1.0188776118201086,0.06837147339077912,0
844,193,84,0,1.0145864668455442,0.050913289316488815,0
854,198,95,0,0.9905570904620041,0.02210526315789474,1
864,196,97,0,0.988197642086778,0.003092783505154639,0
874,199,100,0,0.983690682819679,0.009,0
884,200,100,0,0.9881981734268152,0.009,0
894,198,98,0,0.986630729818911,0.006122448979591836,0
904,200,99,0,0.9888055254119038,0.00909090909090909,0
914,197,100,0,0.9803221100133557,0.003,0
925,191,100,0,0.9820435109536416,0.0,9
935,103,100,0,0.9843061342655706,0.006,0
945,176,99,0,0.9851669332824016,0.0030303030303030303,7
955,192,99,0,0.987270424018746,0.0,0
965,199,100,0,0.9871374582034861,0.003,1
975,95,100,0,0.9810141748469055,0.006,0
985,173,100,0,0.9806389820208073,0.003,2
995,186,100,0,0.9834604920210566,0.003,0
1005,199,100,0,0.9852169834239645,0.003,0
1015,194,100,0,0.9835599102326243,0.003,1
1025,98,100,0,0.9850624194169204,0.003,0
1035,153,100,0,0.9850754887105806,0.003,2
1045,186,100,0,0.9844157752712381,0.003,0
1055,200,100,0,0.9841143887359446,0.009,0
1065,200,100,0,0.9899834587083756,0.006,0
1075,200,100,0,0.9890882438813532,0.009,0
1086,194,100,0,0.9893507306720873,0.009,0
1096,199,100,0,0.9918345260610135,0.009,0
1106,196,100,0,0.9826759280219626,0.009,0
1116,175,100,0,0.9807282995814098,0.015,0
1126,195,100,0,0.9844740855363817,0.015,0
1136,200,100,0,0.9786332752549682,0.01658203627722268,0
1146,125,100,0,0.9772929364968428,0.025582036277222678,0
1156,200,100,0,0.9805766293599778,0.025582036277222678,0
1166,197,100,0,0.9758249085875376,0.025582036277222678,0
1176,19,100,0,0.9775619655923555,0.028582036277222677,0
1186,19,99,0,0.9790225852113459,0.022810137653760283,0
1196,86,100,0,0.9778894188356417,0.018000000000000002,0
1206,184,98,0,0.9798697080652882,0.018367346938775512,0
1216,27,100,0,0.9795837426131092,0.021,7
1227,59,100,0,0.9795837426131092,0.018000000000000002,0
1237,21,100,0,0.9766513947177212,0.018000000000000002,0
1247,119,100,0,0.9755396606802773,0.024,1
1257,200,100,0,0.9749372714212537,0.018000000000000002,0
1267,48,100,0,0.9753062875931946,0.018000000000000002,1
1277,30,100,0,0.9748400161123736,0.015,0
1287,200,100,0,0.9745098624097556,0.015,0
1297,199,100,0,0.9790731845906067,0.015,0
1307,193,100,0,0.9740262575134512,0.021,1
1317,200,100,0,0.9730763811363259,0.009,0
1327,200,100,0,0.972979660157065,0.009,0
1337,0,100,0,0.972979660157065,0.009,0
1347,197,100,0,0.972979660157065,0.009,1
1357,190,100,0,0.9728829391778042,0.009,7
1367,200,100,0,0.9728829391778042,0.009,0
1378,198,100,0,0.9728829391778042,0.009,0
1388,199,100,0,0.9727862181985433,0.009,0
1398,200,100,0,0.9727862181985433,0.009,0
1408,180,100,0,0.972205474311579,0.006,0
1418,192,100,0,0.9743592157302621,0.006,0
1428,197,100,0,0.9789518359897316,0.006,2
1438,150,100,0,0.9789518359897316,0.006,5
1448,200,100,0,0.9788551150104706,0.006,0
1458,200,100,0,0.9788551150104706,0.006,0
1468,196,100,0,0.979307279445531,0.006,0
1478,188,100,0,0.9782785498342476,0.006,1
1488,26,100,0,0.9772498202229642,0.006,0
1498,193,100,0,0.9786057765933043,0.006,0
1508,196,100,0,0.9786057765933043,0.006,0
1518,190,100,0,0.9760961529356774,0.006,0
1529,192,100,0,0.9740386937131109,0.009,0
1539,197,100,0,0.9740386937131109,0.006,0
1549,125,100,0,0.9750674233243941,0.006,0
1559,41,100,0,0.9750674233243941,0.006,0
1569,197,100,0,0.9740386937131109,0.009,0
1579,200,100,0,0.9750674233243941,0.009,0
1589,17,100,0,0.9750674233243941,0.009,0
1599,122,100,0,0.9750674233243941,0.009,0
1609,47,100,0,0.9766742319909215,0.009,0
1619,182,99,0,0.9763310794172959,0.00909090909090909,0
1629,76,100,0,0.9750674233243941,0.012,0
1639,120,100,0,0.9760961529356774,0.009,0
1649,200,100,0,0.9760961529356774,0.009,0
1659,200,100,0,0.9760961529356774,0.009,0
1669,200,100,0,0.9760961529356774,0.009,0
1679,130,100,0,0.9760961529356774,0.009,1
1689,181,100,0,0.9750674233243941,0.009,0
1700,198,100,0,0.9749707023451333,0.009,1
1710,171,100,0,0.9749707023451333,0.009,0
1720,200,100,0,0.9749707023451333,0.009,0
1730,98,100,0,0.9749707023451333,0.009,0
1740,55,100,0,0.9749707023451333,0.009,0
1750,19,100,0,0.9749707023451333,0.009,0
1760,29,100,0,0.9749707023451333,0.009,0
1770,14,100,0,0.9749707023451333,0.009,60
1780,19,100,0,0.9749707023451333,0.009,0
1790,119,100,0,0.9749707023451333,0.009,0
1800,27,100,0,0.9749707023451333,0.009,0
1810,17,100,0,0.9749707023451333,0.009,0
1820,186,100,0,0.9749707023451333,0.009,8
1830,180,100,0,0.9749707023451333,0.009,0
1841,97,100,0,0.9749707023451333,0.009,0
1851,136,100,0,0.9748739813658724,0.009,0
1861,197,100,0,0.9748739813658724,0.009,0
1871,169,100,0,0.9748739813658724,0.009,0
1881,190,100,0,0.9748739813658724,0.009,7
1891,191,100,0,0.9748739813658724,0.009,7
1901,140,100,0,0.9748739813658724,0.009,0
1911,198,100,0,0.9748739813658724,0.009,0
1921,188,100,0,0.9748739813658724,0.009,5
1931,194,100,0,0.9748739813658724,0.009,2
1941,200,100,0,0.9748739813658726,0.012,0
1951,187,100,0,0.9748739813658726,0.015,3
1961,196,100,0,0.9748739813658726,0.015,0
1972,200,100,0,0.9748739813658726,0.012,0
1982,92,100,0,0.9748739813658726,0.012,0
1992,191,100,0,0.9748739813658726,0.012,0
2002,200,100,0,0.9748739813658726,0.012,0
2012,38,100,0,0.9747772603866116,0.015,0
2022,200,100,0,0.9747772603866116,0.015,1
2032,194,100,0,0.9747772603866116,0.015,0
2042,196,100,0,0.9747772603866116,0.015,0
2052,200,100,0,0.9747772603866116,0.015,0
2062,200,100,0,0.9747772603866116,0.015,0
2072,66,100,0,0.9747772603866116,0.012,0
2082,187,100,0,0.9747772603866116,0.012,0
2092,197,100,0,0.9747772603866116,0.012,3
2102,200,100,0,0.9747772603866116,0.012,0
2112,199,100,0,0.9748723247804176,0.012,1
2122,198,100,0,0.9748723247804176,0.012,1
2133,196,100,0,0.9748723247804176,0.012,0
2143,191,100,0,0.9748723247804176,0.012,2
2153,177,100,0,0.9748723247804176,0.012,0
2163,38,100,0,0.9748723247804176,0.012,0
2173,18,100,0,0.9748723247804176,0.012,0
2183,70,100,0,0.9748723247804176,0.012,0
2193,184,100,0,0.9748723247804176,0.012,10
2203,35,100,0,0.9759010543917008,0.009,1
2213,199,100,0,0.9759010543917008,0.009,0
2223,199,100,0,0.9748723247804176,0.009,0
2233,200,100,0,0.9747772603866116,0.009,0
2243,195,100,0,0.9747772603866116,0.009,1
2253,55,100,0,0.9747772603866116,0.009,0
2263,29,100,0,0.9747772603866116,0.009,0
2273,19,100,0,0.9747772603866116,0.009,0
2283,190,100,0,0.9747772603866116,0.009,0
2293,200,100,0,0.9747772603866116,0.009,0
2303,188,100,0,0.9747772603866116,0.009,0
2313,199,100,0,0.9747772603866116,0.009,0
2323,1,100,0,0.973655218160803,0.009,0
2334,200,100,0,0.9747772603866116,0.009,0
2344,200,100,0,0.9747772603866116,0.009,0
2354,183,99,0,0.9749988647212698,0.00909090909090909,0
2364,200,100,0,0.9747772603866116,0.009,0
2374,200,100,0,0.9775112060367629,0.009,0
2384,182,100,0,0.9775112060367629,0.009,1
2394,191,100,0,0.9775112060367629,0.009,0
2404,188,100,0,0.9775112060367629,0.009,0
2414,199,100,0,0.9775112060367629,0.009,0
2424,188,100,0,0.9775112060367629,0.009,0
2434,196,100,0,0.9775112060367629,0.009,0
2444,34,100,0,0.9775112060367629,0.009,0
2454,136,100,0,0.9775112060367629,0.009,8
2464,18,100,0,0.9775112060367629,0.009,0
2474,185,100,0,0.9775112060367629,0.009,0
2485,135,100,0,0.9775112060367629,0.009,1
2495,169,100,0,0.9775112060367629,0.009,8
2505,6,100,0,0.9775112060367629,0.009,0
2515,200,100,0,0.9775112060367629,0.009,1
2525,198,100,0,0.9775112060367629,0.009,1
2535,154,100,0,0.9775112060367629,0.009,3
2545,200,100,0,0.9775112060367629,0.009,0
2555,195,100,0,0.9775112060367629,0.009,0
2565,200,100,0,0.9775112060367629,0.009,0
2575,172,100,0,0.9768347196091781,0.009,0
2585,20,100,0,0.9768347196091781,0.009,0
2595,121,100,0,0.9768347196091781,0.009,0
2605,163,100,0,0.9768347196091781,0.009,0
2615,200,100,0,0.9768347196091781,0.009,0
2625,186,100,0,0.9768347196091781,0.009,1
2636,19,100,0,0.9768347196091781,0.009,0
2646,18,100,0,0.9768347196091781,0.009,0
2656,162,100,0,0.9768347196091781,0.009,2
2666,177,100,0,0.9768347196091781,0.009,8
